,child_id,parent_id,child_context,parent_context
280,"ПОРАЗИТЬ (ПОВРЕДИТЬ, ПРИЧИНИВ УЩЕРБ ЗДОРОВЬЮ)",ПРИЧИНЕНИЕ ВРЕДА,"обязательств (договорная), так и за поразить (повредить, причинив ущерб здоровью) (деликтная). ","обязательств (договорная), так и за причинение вреда (деликтная). "
281,ПОДЛЫЙ ПОСТУПОК,ПРИЧИНЕНИЕ ВРЕДА,"обязательств (договорная), так и за подлый поступок (деликтная). ","обязательств (договорная), так и за причинение вреда (деликтная). "
282,"ПОДСТРОИТЬ, УСТРОИТЬ НЕПРИЯТНОСТИ",ПРИЧИНЕНИЕ ВРЕДА,"обязательств (договорная), так и за подстроить, устроить неприятности (деликтная). ","обязательств (договорная), так и за причинение вреда (деликтная). "
283,"СГЛАЗ, ПОРЧА",ПРИЧИНЕНИЕ ВРЕДА,"обязательств (договорная), так и за сглаз, порча (деликтная). ","обязательств (договорная), так и за причинение вреда (деликтная). "
284,"ПОДОРВАТЬ, РАСШАТАТЬ",ПРИЧИНЕНИЕ ВРЕДА,"обязательств (договорная), так и за подорвать, расшатать (деликтная). ","обязательств (договорная), так и за причинение вреда (деликтная). "
285,"БЕДОКУРИТЬ, ШКОДНИЧАТЬ",ПРИЧИНЕНИЕ ВРЕДА,"обязательств (договорная), так и за бедокурить, шкодничать (деликтная). ","обязательств (договорная), так и за причинение вреда (деликтная). "
286,МЕДВЕЖЬЯ УСЛУГА,ПРИЧИНЕНИЕ ВРЕДА,"обязательств (договорная), так и за медвежья услуга (деликтная). ","обязательств (договорная), так и за причинение вреда (деликтная). "
287,"ИНТРИГА, КОЗНИ",ПРИЧИНЕНИЕ ВРЕДА,"обязательств (договорная), так и за интрига, козни (деликтная). ","обязательств (договорная), так и за причинение вреда (деликтная). "
288,ЗАЛЕЧИТЬ (ПРИЧИНИТЬ ВРЕД),ПРИЧИНЕНИЕ ВРЕДА,"обязательств (договорная), так и за залечить (причинить вред) (деликтная). ","обязательств (договорная), так и за причинение вреда (деликтная). "
289,"ОСЛЕПИТЬ, ЛИШИТЬ ЗРЕНИЯ",ПРИЧИНЕНИЕ ВРЕДА,"обязательств (договорная), так и за ослепить, лишить зрения (деликтная). ","обязательств (договорная), так и за причинение вреда (деликтная). "
290,"ПОДВЕСТИ, ПОДКАЧАТЬ",ПРИЧИНЕНИЕ ВРЕДА,"обязательств (договорная), так и за подвести, подкачать (деликтная). ","обязательств (договорная), так и за причинение вреда (деликтная). "
291,ПЕРЕДОЗИРОВАТЬ,ПРИЧИНЕНИЕ ВРЕДА,"обязательств (договорная), так и за передозировать (деликтная). ","обязательств (договорная), так и за причинение вреда (деликтная). "
292,НЕВИНОВНОЕ ПРИЧИНЕНИЕ ВРЕДА,ПРИЧИНЕНИЕ ВРЕДА,"обязательств (договорная), так и за невиновное причинение вреда (деликтная). ","обязательств (договорная), так и за причинение вреда (деликтная). "
293,ПРЕДНАМЕРЕННО ВРЕДИТЬ,ПРИЧИНЕНИЕ ВРЕДА,"обязательств (договорная), так и за преднамеренно вредить (деликтная). ","обязательств (договорная), так и за причинение вреда (деликтная). "
294,ПЕРЕНАПРЯЧЬСЯ,ПРИЧИНЕНИЕ ВРЕДА,"обязательств (договорная), так и за перенапрячься (деликтная). ","обязательств (договорная), так и за причинение вреда (деликтная). "
307,ЗАБОР ВОДЫ,ВОДОПОЛЬЗОВАНИЕ, Водопользование―не нарушать механизмов воспроизводства водных, Водопользование―не нарушать механизмов воспроизводства водных
313,МЕСТО ПРЕДВАРИТЕЛЬНОГО ЗАКЛЮЧЕНИЯ,ТЮРЕМНАЯ КАМЕРА,"сейчас представилась ему очень отчётливо: место предварительного заключения, вода, крысы на кровати","сейчас представилась ему очень отчётливо: тюремная камера, вода, крысы на кровати"
314,КАРЦЕР,ТЮРЕМНАЯ КАМЕРА,"сейчас представилась ему очень отчётливо: карцер, вода, крысы на кровати","сейчас представилась ему очень отчётливо: тюремная камера, вода, крысы на кровати"
315,ОДИНОЧНАЯ КАМЕРА,ТЮРЕМНАЯ КАМЕРА,"сейчас представилась ему очень отчётливо: одиночная камера, вода, крысы на кровати","сейчас представилась ему очень отчётливо: тюремная камера, вода, крысы на кровати"
316,КАМЕРА СМЕРТНИКОВ,ТЮРЕМНАЯ КАМЕРА,"сейчас представилась ему очень отчётливо: камера смертников, вода, крысы на кровати","сейчас представилась ему очень отчётливо: тюремная камера, вода, крысы на кровати"
317,КАМЕРА ВРЕМЕННОГО ЗАДЕРЖАНИЯ,ТЮРЕМНАЯ КАМЕРА,"сейчас представилась ему очень отчётливо: камера временного задержания, вода, крысы на кровати","сейчас представилась ему очень отчётливо: тюремная камера, вода, крысы на кровати"
327,РУЧНАЯ ТЕЛЕЖКА,ТЕЛЕЖКА,таких отношений вагон и маленькая ручная тележка. ,таких отношений вагон и маленькая тележка. 
328,"ПРЕМИЯ ""ОСКАР""",КИНОПРЕМИЯ,"Раппопорт уже есть национальная итальянская премия ""оскар"" «Давид Донателло» за роль в",Раппопорт уже есть национальная итальянская кинопремия «Давид Донателло» за роль в
329,МЕДИЦИНСКАЯ ЭКСПЕРТИЗА,ОСВИДЕТЕЛЬСТВОВАНИЕ,протокол о направлении на медицинское медицинская экспертиза. ,протокол о направлении на медицинское освидетельствование. 
330,"СТИМУЛ, ТОЛЧОК",ПРИЧИНА ЯВЛЕНИЯ," ). По их мнению, стимул, толчок заключается в том, что"," ). По их мнению, причина явления заключается в том, что"
331,ВИНА (ПРИЧИНА НЕБЛАГОПРИЯТНОГО),ПРИЧИНА ЯВЛЕНИЯ," ). По их мнению, вина (причина неблагоприятного) заключается в том, что"," ). По их мнению, причина явления заключается в том, что"
332,ТАЙНА (СКРЫТАЯ ПРИЧИНА),ПРИЧИНА ЯВЛЕНИЯ," ). По их мнению, тайна (скрытая причина) заключается в том, что"," ). По их мнению, причина явления заключается в том, что"
333,"ГРОЗА (О ТОМ, ЧТО ВНУШАЕТ  СТРАХ, УЖАС)",ПРИЧИНА ЯВЛЕНИЯ," ). По их мнению, гроза (о том, что внушает  страх, ужас) заключается в том, что"," ). По их мнению, причина явления заключается в том, что"
334,"ЖУПЕЛ, ПУГАЛО",ПРИЧИНА ЯВЛЕНИЯ," ). По их мнению, жупел, пугало заключается в том, что"," ). По их мнению, причина явления заключается в том, что"
335,ПОДОПЛЕКА СОБЫТИЙ,ПРИЧИНА ЯВЛЕНИЯ," ). По их мнению, подоплека событий заключается в том, что"," ). По их мнению, причина явления заключается в том, что"
336,ПЕРВОПРИЧИНА (ОСНОВНАЯ ПРИЧИНА),ПРИЧИНА ЯВЛЕНИЯ," ). По их мнению, первопричина (основная причина) заключается в том, что"," ). По их мнению, причина явления заключается в том, что"
337,ДЕЙСТВУЮЩИЙ АГЕНТ,ПРИЧИНА ЯВЛЕНИЯ," ). По их мнению, действующий агент заключается в том, что"," ). По их мнению, причина явления заключается в том, что"
338,ЛОКОН,ПРЯДЬ ВОЛОС,"его грустные глаза, на седую локон на лбу, на морщины","его грустные глаза, на седую прядь волос на лбу, на морщины"
339,ЧЕЛКА (ПРЯДЬ),ПРЯДЬ ВОЛОС,"его грустные глаза, на седую челка (прядь) на лбу, на морщины","его грустные глаза, на седую прядь волос на лбу, на морщины"
340,ЯНВАРЬ,ЗИМНИЙ МЕСЯЦ,"подсчеты показывают, что в холодный январь даже такая относительно небольшая","подсчеты показывают, что в холодный зимний месяц даже такая относительно небольшая"
341,ФЕВРАЛЬ,ЗИМНИЙ МЕСЯЦ,"подсчеты показывают, что в холодный февраль даже такая относительно небольшая","подсчеты показывают, что в холодный зимний месяц даже такая относительно небольшая"
342,ДЕКАБРЬ,ЗИМНИЙ МЕСЯЦ,"подсчеты показывают, что в холодный декабрь даже такая относительно небольшая","подсчеты показывают, что в холодный зимний месяц даже такая относительно небольшая"
350,РИНГТОН,МОБИЛЬНЫЙ КОНТЕНТ,"социальные сети, почтовые сервисы и рингтон в единую пользовательскую среду","социальные сети, почтовые сервисы и мобильный контент в единую пользовательскую среду"
351,НАБАТ КОЛОКОЛА,СИГНАЛ ТРЕВОГИ,"Ещё одно ""детское"" изобретение называется ""Сигнал тревоги в пелёнках"". ","Ещё одно ""детское"" изобретение называется ""Сигнал тревоги в пелёнках"". "
352,ВОЗДУШНАЯ ТРЕВОГА,СИГНАЛ ТРЕВОГИ,"Ещё одно ""детское"" изобретение называется ""Сигнал тревоги в пелёнках"". ","Ещё одно ""детское"" изобретение называется ""Сигнал тревоги в пелёнках"". "
353,"ОПАСНОСТЬ, УГРОЗА",ПЕРСПЕКТИВА НА БУДУЩЕЕ,"простыми распоряжениями соответствующих администраций.   3. Перспектива на будущее.   Мировой опыт, в","простыми распоряжениями соответствующих администраций.   3. Перспектива на будущее.   Мировой опыт, в"
354,ПЛОХАЯ ПЕРСПЕКТИВА,ПЕРСПЕКТИВА НА БУДУЩЕЕ,"простыми распоряжениями соответствующих администраций.   3. Перспектива на будущее.   Мировой опыт, в","простыми распоряжениями соответствующих администраций.   3. Перспектива на будущее.   Мировой опыт, в"
355,ДЕНЕЖНО-ТОВАРНОЕ ОБРАЩЕНИЕ,ЦИКЛИЧЕСКИЙ ПРОЦЕСС,и Б) и это создает денежно-товарное обращение. ,и Б) и это создает циклический процесс. 
356,ЯДЕРНО-ТОПЛИВНЫЙ ЦИКЛ,ЦИКЛИЧЕСКИЙ ПРОЦЕСС,и Б) и это создает ядерно-топливный цикл. ,и Б) и это создает циклический процесс. 
357,ПРОИЗВОДСТВЕННЫЙ ЦИКЛ,ЦИКЛИЧЕСКИЙ ПРОЦЕСС,и Б) и это создает производственный цикл. ,и Б) и это создает циклический процесс. 
358,ОБОРОТ (ЗАКОНЧЕННЫЙ ЦИКЛ ОПЕРАЦИЙ ),ЦИКЛИЧЕСКИЙ ПРОЦЕСС,и Б) и это создает оборот (законченный цикл операций ). ,и Б) и это создает циклический процесс. 
359,КУРС ОБУЧЕНИЯ,ЦИКЛИЧЕСКИЙ ПРОЦЕСС,и Б) и это создает курс обучения. ,и Б) и это создает циклический процесс. 
360,ЦИРКУЛИРОВАНИЕ (ЦИКЛИЧЕСКОЕ ДВИЖЕНИЕ),ЦИКЛИЧЕСКИЙ ПРОЦЕСС,и Б) и это создает циркулирование (циклическое движение). ,и Б) и это создает циклический процесс. 
361,РАБОЧИЙ ЦИКЛ,ЦИКЛИЧЕСКИЙ ПРОЦЕСС,и Б) и это создает рабочий цикл. ,и Б) и это создает циклический процесс. 
372,СОТРЯСЕНИЕ МОЗГА,ЧЕРЕПНО-МОЗГОВАЯ ТРАВМА,него оказалась сломанной ключица плюс сотрясение мозга. ,него оказалась сломанной ключица плюс черепно-мозговая травма. 
375,МОНЕТАРНАЯ ЭКОНОМИКА,МАКРОЭКОНОМИКА,"лично не стал, т. к.   монетарная экономика вещь в себе…   Что касается","лично не стал, т. к.   макроэкономика вещь в себе…   Что касается"
378,НЕРВНО-ПАРАЛИТИЧЕСКИЕ ВЕЩЕСТВА,ЯДОВИТЫЙ ГАЗ,"простые: синильная кислота, циан ― известный нервно-паралитические вещества. ","простые: синильная кислота, циан ― известный ядовитый газ. "
379,БОЕВОЕ ОТРАВЛЯЮЩЕЕ ВЕЩЕСТВО,ЯДОВИТЫЙ ГАЗ,"простые: синильная кислота, циан ― известный боевое отравляющее вещество. ","простые: синильная кислота, циан ― известный ядовитый газ. "
380,КОНСЕРВИРОВАНИЕ ПИЩЕВЫХ ПРОДУКТОВ,ПРИГОТОВЛЕНИЕ ПИЩИ,"например, много времени трачу на консервирование пищевых продуктов: завтрак, обед и ужин","например, много времени трачу на приготовление пищи: завтрак, обед и ужин"
381,ЖАРКА ПИЩИ,ПРИГОТОВЛЕНИЕ ПИЩИ,"например, много времени трачу на жарка пищи: завтрак, обед и ужин","например, много времени трачу на приготовление пищи: завтрак, обед и ужин"
382,ВАРКА ПИЩИ,ПРИГОТОВЛЕНИЕ ПИЩИ,"например, много времени трачу на варка пищи: завтрак, обед и ужин","например, много времени трачу на приготовление пищи: завтрак, обед и ужин"
383,КОПЧЕНИЕ ПРОДУКТОВ,ПРИГОТОВЛЕНИЕ ПИЩИ,"например, много времени трачу на копчение продуктов: завтрак, обед и ужин","например, много времени трачу на приготовление пищи: завтрак, обед и ужин"
384,МАРИНОВАНИЕ ПРОДУКТОВ,ПРИГОТОВЛЕНИЕ ПИЩИ,"например, много времени трачу на маринование продуктов: завтрак, обед и ужин","например, много времени трачу на приготовление пищи: завтрак, обед и ужин"
385,ВЫПЕКАНИЕ ИЗДЕЛИЯ,ПРИГОТОВЛЕНИЕ ПИЩИ,"например, много времени трачу на выпекание изделия: завтрак, обед и ужин","например, много времени трачу на приготовление пищи: завтрак, обед и ужин"
386,ЗАПЕКАНИЕ БЛЮДА,ПРИГОТОВЛЕНИЕ ПИЩИ,"например, много времени трачу на запекание блюда: завтрак, обед и ужин","например, много времени трачу на приготовление пищи: завтрак, обед и ужин"
387,"НАСТОЯТЬ, ПРИГОТОВИТЬ НАСТОЙКУ",ПРИГОТОВЛЕНИЕ ПИЩИ,"например, много времени трачу на настоять, приготовить настойку: завтрак, обед и ужин","например, много времени трачу на приготовление пищи: завтрак, обед и ужин"
388,ПРИГОТОВЛЕНИЕ ПИЩИ НА ПАРУ,ПРИГОТОВЛЕНИЕ ПИЩИ,"например, много времени трачу на приготовление пищи на пару: завтрак, обед и ужин","например, много времени трачу на приготовление пищи: завтрак, обед и ужин"
389,ПРИЗЫВНИК,"МУЖЧИНА, ЧЕЛОВЕК МУЖСКОГО ПОЛА","пальцев называется «кликкин», что значит призывник. ","пальцев называется «кликкин», что значит мужчина, человек мужского пола. "
390,СЫН,"МУЖЧИНА, ЧЕЛОВЕК МУЖСКОГО ПОЛА","пальцев называется «кликкин», что значит сын. ","пальцев называется «кликкин», что значит мужчина, человек мужского пола. "
391,МАЛЬЧИК,"МУЖЧИНА, ЧЕЛОВЕК МУЖСКОГО ПОЛА","пальцев называется «кликкин», что значит мальчик. ","пальцев называется «кликкин», что значит мужчина, человек мужского пола. "
392,ЮНОША,"МУЖЧИНА, ЧЕЛОВЕК МУЖСКОГО ПОЛА","пальцев называется «кликкин», что значит юноша. ","пальцев называется «кликкин», что значит мужчина, человек мужского пола. "
393,СЛУГА (РАБОТНИК),"МУЖЧИНА, ЧЕЛОВЕК МУЖСКОГО ПОЛА","пальцев называется «кликкин», что значит слуга (работник). ","пальцев называется «кликкин», что значит мужчина, человек мужского пола. "
394,КРЕСТНЫЙ СЫН,"МУЖЧИНА, ЧЕЛОВЕК МУЖСКОГО ПОЛА","пальцев называется «кликкин», что значит крестный сын. ","пальцев называется «кликкин», что значит мужчина, человек мужского пола. "
395,РОДСТВЕННИК-МУЖЧИНА,"МУЖЧИНА, ЧЕЛОВЕК МУЖСКОГО ПОЛА","пальцев называется «кликкин», что значит родственник-мужчина. ","пальцев называется «кликкин», что значит мужчина, человек мужского пола. "
396,"ДРУГ, БОЙФРЕНД","МУЖЧИНА, ЧЕЛОВЕК МУЖСКОГО ПОЛА","пальцев называется «кликкин», что значит друг, бойфренд. ","пальцев называется «кликкин», что значит мужчина, человек мужского пола. "
397,ВЗРОСЛЫЙ МУЖЧИНА,"МУЖЧИНА, ЧЕЛОВЕК МУЖСКОГО ПОЛА","пальцев называется «кликкин», что значит взрослый мужчина. ","пальцев называется «кликкин», что значит мужчина, человек мужского пола. "
398,ОБЕСКУРАЖЕННЫЙ,РАСТЕРЯННЫЙ,"учёный― не великий человек, а обескураженный, не имеющий ""общей идеи"" старик","учёный― не великий человек, а растерянный, не имеющий ""общей идеи"" старик"
399,ОЗАДАЧЕННЫЙ,РАСТЕРЯННЫЙ,"учёный― не великий человек, а озадаченный, не имеющий ""общей идеи"" старик","учёный― не великий человек, а растерянный, не имеющий ""общей идеи"" старик"
400,"СМЯТЕНИЕ, ЗАМЕШАТЕЛЬСТВО",РАСТЕРЯННЫЙ,"учёный― не великий человек, а смятение, замешательство, не имеющий ""общей идеи"" старик","учёный― не великий человек, а растерянный, не имеющий ""общей идеи"" старик"
401,ДОШКОЛЬНИК,МАЛОЛЕТНИЕ ДЕТИ,отбраковал сразу: это подростки и дошкольник. ,отбраковал сразу: это подростки и малолетние дети. 
402,МЛАДЕНЕЦ,МАЛОЛЕТНИЕ ДЕТИ,отбраковал сразу: это подростки и младенец. ,отбраковал сразу: это подростки и малолетние дети. 
403,МАЛЫШ,МАЛОЛЕТНИЕ ДЕТИ,отбраковал сразу: это подростки и малыш. ,отбраковал сразу: это подростки и малолетние дети. 
405,ШОВ (МЕСТО СОЕДИНЕНИЯ),МЕСТО СОЕДИНЕНИЯ,а при последующей сборке смазываю шов (место соединения) графитной смазкой. ,а при последующей сборке смазываю место соединения графитной смазкой. 
406,СТЫК (МЕСТО),МЕСТО СОЕДИНЕНИЯ,а при последующей сборке смазываю стык (место) графитной смазкой. ,а при последующей сборке смазываю место соединения графитной смазкой. 
407,ШАРНИР,МЕСТО СОЕДИНЕНИЯ,а при последующей сборке смазываю шарнир графитной смазкой. ,а при последующей сборке смазываю место соединения графитной смазкой. 
408,"СОЧЛЕНИЕ, МЕСТО СОЧЛЕНЕНИЯ",МЕСТО СОЕДИНЕНИЯ,"а при последующей сборке смазываю сочление, место сочленения графитной смазкой. ",а при последующей сборке смазываю место соединения графитной смазкой. 
409,КРЕСТЕЦ,МЕСТО СОЕДИНЕНИЯ,а при последующей сборке смазываю крестец графитной смазкой. ,а при последующей сборке смазываю место соединения графитной смазкой. 
410,УЗЕЛ (МЕСТО СОЕДИНЕНИЯ),МЕСТО СОЕДИНЕНИЯ,а при последующей сборке смазываю узел (место соединения) графитной смазкой. ,а при последующей сборке смазываю место соединения графитной смазкой. 
411,"СЛИЯНИЕ, МЕСТО СЛИЯНИЯ",МЕСТО СОЕДИНЕНИЯ,"а при последующей сборке смазываю слияние, место слияния графитной смазкой. ",а при последующей сборке смазываю место соединения графитной смазкой. 
412,КОРЕШОК ПЕРЕПЛЕТА,МЕСТО СОЕДИНЕНИЯ,а при последующей сборке смазываю корешок переплета графитной смазкой. ,а при последующей сборке смазываю место соединения графитной смазкой. 
413,ПЕРЕМЫЧКА (ЧАСТЬ КОНСТРУКЦИИ),МЕСТО СОЕДИНЕНИЯ,а при последующей сборке смазываю перемычка (часть конструкции) графитной смазкой. ,а при последующей сборке смазываю место соединения графитной смазкой. 
414,СВАРНОЙ ШОВ,МЕСТО СОЕДИНЕНИЯ,а при последующей сборке смазываю сварной шов графитной смазкой. ,а при последующей сборке смазываю место соединения графитной смазкой. 
415,ЭЛЕКТРИЧЕСКИЙ КОНТАКТ,МЕСТО СОЕДИНЕНИЯ,а при последующей сборке смазываю электрический контакт графитной смазкой. ,а при последующей сборке смазываю место соединения графитной смазкой. 
416,ШНУРОВКА (МЕСТО СОЕДИНЕНИЯ),МЕСТО СОЕДИНЕНИЯ,а при последующей сборке смазываю шнуровка (место соединения) графитной смазкой. ,а при последующей сборке смазываю место соединения графитной смазкой. 
417,НАРОДНЫЙ ТАНЕЦ,ТАНЕЦ," Вот я запомнил какой-то народный танец, помню последовательность движений и сами"," Вот я запомнил какой-то танец, помню последовательность движений и сами"
418,КАНКАН,ТАНЕЦ," Вот я запомнил какой-то канкан, помню последовательность движений и сами"," Вот я запомнил какой-то танец, помню последовательность движений и сами"
419,БАЛЬНЫЙ ТАНЕЦ,ТАНЕЦ," Вот я запомнил какой-то бальный танец, помню последовательность движений и сами"," Вот я запомнил какой-то танец, помню последовательность движений и сами"
420,БРЕЙК-ДАНС,ТАНЕЦ," Вот я запомнил какой-то брейк-данс, помню последовательность движений и сами"," Вот я запомнил какой-то танец, помню последовательность движений и сами"
421,ПУХЛЫЙ (ОКРУГЛЫЙ И МЯГКИЙ),ОКРУГЛАЯ ФОРМА,и видна была ее изначальная пухлый (округлый и мягкий) ― стена походила на гигантскую,и видна была ее изначальная округлая форма ― стена походила на гигантскую
422,ШУБА (ОДЕЖДА),МЕХОВАЯ ОДЕЖДА,"зимнее время русско-устьинцев спасала шуба (одежда), материал и покрой которой","зимнее время русско-устьинцев спасала меховая одежда, материал и покрой которой"
423,ДУБЛЕНКА,МЕХОВАЯ ОДЕЖДА,"зимнее время русско-устьинцев спасала дубленка, материал и покрой которой","зимнее время русско-устьинцев спасала меховая одежда, материал и покрой которой"
424,ПРЕПАРАТ ВАЛЕРИАНЫ,ФИТОПРЕПАРАТ," Сказали, принимать какой-то препарат валерианы (не разберу названия), и витамин"," Сказали, принимать какой-то фитопрепарат (не разберу названия), и витамин"
425,ПРЕПАРАТ ИЗ КОРНЕЙ РАСТЕНИЯ,ФИТОПРЕПАРАТ," Сказали, принимать какой-то препарат из корней растения (не разберу названия), и витамин"," Сказали, принимать какой-то фитопрепарат (не разберу названия), и витамин"
426,ИКРА РЫБ,РЫБНАЯ ПРОДУКЦИЯ," Все остальное ― древесина, икра рыб и немного нефтепродуктов, которые"," Все остальное ― древесина, рыбная продукция и немного нефтепродуктов, которые"
427,РЫБИЙ ЖИР,РЫБНАЯ ПРОДУКЦИЯ," Все остальное ― древесина, рыбий жир и немного нефтепродуктов, которые"," Все остальное ― древесина, рыбная продукция и немного нефтепродуктов, которые"
428,МОРЕПРОДУКТЫ,РЫБНАЯ ПРОДУКЦИЯ," Все остальное ― древесина, морепродукты и немного нефтепродуктов, которые"," Все остальное ― древесина, рыбная продукция и немного нефтепродуктов, которые"
429,ПРОДУКЦИЯ РЫБОПЕРЕРАБОТКИ,РЫБНАЯ ПРОДУКЦИЯ," Все остальное ― древесина, продукция рыбопереработки и немного нефтепродуктов, которые"," Все остальное ― древесина, рыбная продукция и немного нефтепродуктов, которые"
430,МЯСО РЫБЫ,РЫБНАЯ ПРОДУКЦИЯ," Все остальное ― древесина, мясо рыбы и немного нефтепродуктов, которые"," Все остальное ― древесина, рыбная продукция и немного нефтепродуктов, которые"
431,"ОБДЕЛИТЬ ПРИ РАСПРЕДЕЛЕНИИ, РАЗДАЧЕ",НЕДОДАТЬ,"стало три только.  Кому ж обделить при распределении, раздаче?   Он тихо это сказал, но","стало три только.  Кому ж недодать?   Он тихо это сказал, но"
432,"ЗАРНИЦА, ОТБЛЕСК МОЛНИИ",ВСПЫШКА СВЕТА," Может быть, что-то драматическое ― зарница, отблеск молнии в голове, громовой голос"," Может быть, что-то драматическое ― вспышка света в голове, громовой голос"
433,НАЦИОНАЛЬНЫЙ СТАНДАРТ,НОРМАТИВНО-ТЕХНИЧЕСКАЯ ДОКУМЕНТАЦИЯ," Специалистам предоставляются технологическая поддержка, национальный стандарт и образцы. "," Специалистам предоставляются технологическая поддержка, нормативно-техническая документация и образцы. "
434,СТРОИТЕЛЬНЫЕ НОРМЫ,НОРМАТИВНО-ТЕХНИЧЕСКАЯ ДОКУМЕНТАЦИЯ," Специалистам предоставляются технологическая поддержка, строительные нормы и образцы. "," Специалистам предоставляются технологическая поддержка, нормативно-техническая документация и образцы. "
435,ТЕХНИЧЕСКИЕ УСЛОВИЯ (НОРМАТИВ),НОРМАТИВНО-ТЕХНИЧЕСКАЯ ДОКУМЕНТАЦИЯ," Специалистам предоставляются технологическая поддержка, технические условия (норматив) и образцы. "," Специалистам предоставляются технологическая поддержка, нормативно-техническая документация и образцы. "
436,ТЕХНИЧЕСКИЙ РЕГЛАМЕНТ,НОРМАТИВНО-ТЕХНИЧЕСКАЯ ДОКУМЕНТАЦИЯ," Специалистам предоставляются технологическая поддержка, технический регламент и образцы. "," Специалистам предоставляются технологическая поддержка, нормативно-техническая документация и образцы. "
441,ОБЪЕДИНИТЬ В ЕДИНОЕ ЦЕЛОЕ,СОЕДИНИТЬ В ОДНО ЦЕЛОЕ,"всего действия, невероятно слаженно смог объединить в единое целое все три","всего действия, невероятно слаженно смог соединить в одно целое все три"
442,СОЧЛЕНИТЬ,СОЕДИНИТЬ В ОДНО ЦЕЛОЕ,"всего действия, невероятно слаженно смог сочленить все три","всего действия, невероятно слаженно смог соединить в одно целое все три"
443,ЗАСТЕГНУТЬ,СОЕДИНИТЬ В ОДНО ЦЕЛОЕ,"всего действия, невероятно слаженно смог застегнуть все три","всего действия, невероятно слаженно смог соединить в одно целое все три"
444,СМЕШИВАТЬ (СОЕДИНЯТЬ),СОЕДИНИТЬ В ОДНО ЦЕЛОЕ,"всего действия, невероятно слаженно смог смешивать (соединять) все три","всего действия, невероятно слаженно смог соединить в одно целое все три"
445,КОМБИНИРОВАТЬ (СОЕДИНЯТЬ),СОЕДИНИТЬ В ОДНО ЦЕЛОЕ,"всего действия, невероятно слаженно смог комбинировать (соединять) все три","всего действия, невероятно слаженно смог соединить в одно целое все три"
446,"СВЯЗАТЬ (ЗАВЯЗЫВАЯ, СОЕДИНИТЬ)",СОЕДИНИТЬ В ОДНО ЦЕЛОЕ,"всего действия, невероятно слаженно смог связать (завязывая, соединить) все три","всего действия, невероятно слаженно смог соединить в одно целое все три"
447,"ПЛЕСТИ ИЗ ПОЛОС, НИТЕЙ",СОЕДИНИТЬ В ОДНО ЦЕЛОЕ,"всего действия, невероятно слаженно смог плести из полос, нитей все три","всего действия, невероятно слаженно смог соединить в одно целое все три"
448,СПЛАВИТЬ ВМЕСТЕ,СОЕДИНИТЬ В ОДНО ЦЕЛОЕ,"всего действия, невероятно слаженно смог сплавить вместе все три","всего действия, невероятно слаженно смог соединить в одно целое все три"
449,"СПАРИТЬ, СОЕДИНИТЬ В ПАРУ",СОЕДИНИТЬ В ОДНО ЦЕЛОЕ,"всего действия, невероятно слаженно смог спарить, соединить в пару все три","всего действия, невероятно слаженно смог соединить в одно целое все три"
450,ЗАШИТЬ (СОЕДИНИТЬ ШВОМ),СОЕДИНИТЬ В ОДНО ЦЕЛОЕ,"всего действия, невероятно слаженно смог зашить (соединить швом) все три","всего действия, невероятно слаженно смог соединить в одно целое все три"
451,СТЫКОВАТЬ,СОЕДИНИТЬ В ОДНО ЦЕЛОЕ,"всего действия, невероятно слаженно смог стыковать все три","всего действия, невероятно слаженно смог соединить в одно целое все три"
452,ПЕРЕМЕШАТЬ,СОЕДИНИТЬ В ОДНО ЦЕЛОЕ,"всего действия, невероятно слаженно смог перемешать все три","всего действия, невероятно слаженно смог соединить в одно целое все три"
453,СОЧЕТАТЬ,СОЕДИНИТЬ В ОДНО ЦЕЛОЕ,"всего действия, невероятно слаженно смог сочетать все три","всего действия, невероятно слаженно смог соединить в одно целое все три"
454,СОБРАТЬ В ОДНОМ МЕСТЕ,СОЕДИНИТЬ В ОДНО ЦЕЛОЕ,"всего действия, невероятно слаженно смог собрать в одном месте все три","всего действия, невероятно слаженно смог соединить в одно целое все три"
455,СБОРКА ИЗДЕЛИЯ,СОЕДИНИТЬ В ОДНО ЦЕЛОЕ,"всего действия, невероятно слаженно смог сборка изделия все три","всего действия, невероятно слаженно смог соединить в одно целое все три"
456,СШИВАТЬ,СОЕДИНИТЬ В ОДНО ЦЕЛОЕ,"всего действия, невероятно слаженно смог сшивать все три","всего действия, невероятно слаженно смог соединить в одно целое все три"
457,ЗАПРЯЧЬ В УПРЯЖКУ,СОЕДИНИТЬ В ОДНО ЦЕЛОЕ,"всего действия, невероятно слаженно смог запрячь в упряжку все три","всего действия, невероятно слаженно смог соединить в одно целое все три"
458,ЗАЦЕПИТЬ (СОЕДИНИТЬ),СОЕДИНИТЬ В ОДНО ЦЕЛОЕ,"всего действия, невероятно слаженно смог зацепить (соединить) все три","всего действия, невероятно слаженно смог соединить в одно целое все три"
459,ЗАМКНУТЬ (СОЕДИНИТЬ КОНЦЫ),СОЕДИНИТЬ В ОДНО ЦЕЛОЕ,"всего действия, невероятно слаженно смог замкнуть (соединить концы) все три","всего действия, невероятно слаженно смог соединить в одно целое все три"
